"Region Code field is required. Enter and try again.","Region Code field is required. Enter and try again."
"Country field is required. Enter and try again.","Country field is required. Enter and try again."
"Invalid value of %1 provided for the Country field.","Invalid value of %1 provided for the Country field."
"Default Name field is required. Enter and try again.","Default Name field is required. Enter and try again."
"Language of Label is required. Enter and try again.","Language of Label is required. Enter and try again."
"Region Name of Label is required. Enter and try again.","Region Name of Label is required. Enter and try again."
"Labels is required. Please specify at least one label.","Labels is required. Please specify at least one label."
"Region with id "%1" does not exist.","Region with id "%1" does not exist."
"Could not delete the region with id: %1","Could not delete the region with id: %1"
"Could not save the region with id: %1","Could not save the region with id: %1"
